"","Name","Address.x","origname","Agency.x","Address.y","City","State","Zip","Site ID","Site Name","Agency21","Agency.y","distance"
"109","Bemidji Headquarters","3920 Highway 2 W Bemidji, MN 56619","R2: Bemidji Headquarters - 3920 Highway 2 W Bemidji, MN 56619","DOT","3920 Hwy 2 West, Bemidji, MN 56619","Bemidji","MN","56619","11809","SITE, D2A, HEADQUARTERS, BEMIDJI","DOT","DOT",0.139542483660131
"110","Crookston Maintenance Headquarters","1320 Sunflower Crookston, MN 56716","R2: Crookston Maintenance Headquarters - 1320 Sunflower Crookston, MN 56716","DOT","1320 Sunflower, Crookston, MN 56716","Crookston","MN","56716","11810","SITE, D2B, HEADQUARTERS, CROOKSTON","DOT","DOT",0.0585434173669468
"111","Deer River Truck Station","44703 Chase Lake Road Deer River, MN 56636","R2: Deer River Truck Station - 44703 Chase Lake Road Deer River, MN 56636","DOT","44703 Chase Lake Road, Deer River, MN 56636","Deer River","MN","56636","11828","SITE, D2A, TRUCK STATION, DEER RIVER","DOT","DOT",0.0514027316352899
"112","Erskine Truck Station","34659 Highway 59 SE Erskine, MN 56535","R2: Erskine Truck Station - 34659 Highway 59 SE Erskine, MN 56535","DOT","34659 U.S. 59, Erskine, MN 56535","Erskine","MN","56535","11830","SITE, D2B, TRUCK STATION, ERSKINE","DOT","DOT",0.188223938223938
"113","Erskine Truck Station","34659 Highway 59 SE Erskine, MN 56535","R2: Erskine Truck Station - 34659 Highway 59 SE Erskine, MN 56535","DOT","715 Highway 52, Preston, MN 55965","Preston","MN","55965","17022","Preston Administration (1001)","Department of Veterans Affairs","MDVA",0.233908733908734
"114","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","1991 Industrial Park Road S, Baxter, MN 56401","Baxter","MN","56401","11843","SITE, D3A, HEADQUARTERS, BRAINERD/BAXTER","DOT","DOT",0.188045846357867
"115","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","11383","7 bldgs-4 Cold Stor, 2 Garage, shed, oil  R2900101560","Department of Natural Resources","DNR",0.238014442256224
"116","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 54670","Park Rapids","MN","54670","11381","Bear Paw Sanitation, Fish cleaning & campsites R2900101680, 10173","Department of Natural Resources","DNR",0.247538251780033
"117","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10737","Cabins #8 - #10 R2900102040-R2900102060","Department of Natural Resources","DNR",0.238014442256224
"118","Park Rapids Truck Station","505 Industrial Park Road Park Rapids, MN 56470","R2: Park Rapids Truck Station - 505 Industrial Park Road Park Rapids, MN 56470","DOT","36750 Main Park Dr, Park Rapids, MN 56470","Park Rapids","MN","56470","10748","Laundry, Gift & Fish Cleaning House","Department of Natural Resources","DNR",0.238014442256224
